Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
240,Exit long,2025-03-12 21:00,Take Profit,175.29,5.881,999.82881,30.04,3.00,1.02,30.55,3.05,-4.5,-0.45,976.11,488.06,1
240,Entry long,2025-03-12 17:00,Long Entry,170.01,5.881,999.82881,30.04,3.00,1.02,30.55,3.05,-4.5,-0.45,976.11,488.06,1
241,Exit long,2025-03-14 01:00,Trailing Stop,165.89,6.144,999.81312,18.41,1.84,1.01,28.87,2.89,-5.48,-0.55,994.52,497.26,1
241,Entry long,2025-03-13 21:00,Long Entry,162.73,6.144,999.81312,18.41,1.84,1.01,28.87,2.89,-5.48,-0.55,994.52,497.26,1
242,Exit long,2025-04-03 01:00,Trailing Stop,155.65,6.45,1000.008,2.93,0.29,1,13.43,1.34,-0.5,-0.05,997.45,498.72,0
242,Entry long,2025-04-03 01:00,Long Entry,155.04,6.45,1000.008,2.93,0.29,1,13.43,1.34,-0.5,-0.05,997.45,498.72,0
243,Exit long,2025-04-03 21:00,Trailing Stop,151.05,6.654,1000.0962,3.99,0.40,1,14.47,1.45,-7.22,-0.72,1001.44,500.72,1
243,Entry long,2025-04-03 17:00,Long Entry,150.3,6.654,1000.0962,3.99,0.40,1,14.47,1.45,-7.22,-0.72,1001.44,500.72,1
244,Exit long,2025-04-04 05:00,Trailing Stop,152.34,6.587,999.97247,2.49,0.25,1,12.94,1.29,-0.5,-0.05,1003.93,501.96,0
244,Entry long,2025-04-04 05:00,Long Entry,151.81,6.587,999.97247,2.49,0.25,1,12.94,1.29,-0.5,-0.05,1003.93,501.96,0
245,Exit long,2025-04-04 13:00,Trailing Stop,151.82,6.693,999.9342,15.19,1.52,1.01,25.67,2.57,-3.24,-0.32,1019.12,509.56,0
245,Entry long,2025-04-04 13:00,Long Entry,149.4,6.693,999.9342,15.19,1.52,1.01,25.67,2.57,-3.24,-0.32,1019.12,509.56,0
246,Exit short,2025-04-24 05:00,Take Profit,159.72,6.066,999.91944,30.07,3.01,0.98,30.56,3.05,-8.81,-0.88,1049.19,524.59,1
246,Entry short,2025-04-24 01:00,Short Entry,164.84,6.066,999.91944,30.07,3.01,0.98,30.56,3.05,-8.81,-0.88,1049.19,524.59,1
247,Exit short,2025-04-26 09:00,Trailing Stop,165.98,6.017,999.96523,0.26,0.03,1,10.75,1.07,-0.5,-0.05,1049.45,524.73,0
247,Entry short,2025-04-26 09:00,Short Entry,166.19,6.017,999.96523,0.26,0.03,1,10.75,1.07,-0.5,-0.05,1049.45,524.73,0
248,Exit short,2025-04-27 05:00,Trailing Stop,169.31,5.859,999.89694,6.91,0.69,1,17.37,1.74,-2.9,-0.29,1056.37,528.18,1
248,Entry short,2025-04-27 01:00,Short Entry,170.66,5.859,999.89694,6.91,0.69,1,17.37,1.74,-2.9,-0.29,1056.37,528.18,1
249,Exit short,2025-04-28 09:00,Take Profit,165.16,5.867,1000.03015,30.05,3.00,0.98,30.54,3.05,-1.09,-0.11,1086.42,543.21,0
249,Entry short,2025-04-28 09:00,Short Entry,170.45,5.867,1000.03015,30.05,3.00,0.98,30.54,3.05,-1.09,-0.11,1086.42,543.21,0
250,Exit short,2025-05-01 21:00,Trailing Stop,173.75,5.726,999.93138,4.04,0.40,1,14.5,1.45,-5.37,-0.54,1090.46,545.23,1
250,Entry short,2025-05-01 17:00,Short Entry,174.63,5.726,999.93138,4.04,0.40,1,14.5,1.45,-5.37,-0.54,1090.46,545.23,1
251,Exit short,2025-05-04 09:00,Trailing Stop,175.87,5.677,999.89001,0.48,0.05,1,10.97,1.10,-16.34,-1.63,1090.94,545.47,2
251,Entry short,2025-05-04 01:00,Short Entry,176.13,5.677,999.89001,0.48,0.05,1,10.97,1.10,-16.34,-1.63,1090.94,545.47,2
252,Exit short,2025-05-05 13:00,Trailing Stop,175.07,5.685,999.93465,3.66,0.37,1,14.11,1.41,-8.23,-0.82,1094.6,547.30,1
252,Entry short,2025-05-05 09:00,Short Entry,175.89,5.685,999.93465,3.66,0.37,1,14.11,1.41,-8.23,-0.82,1094.6,547.30,1
253,Exit short,2025-05-10 09:00,Stop Loss,219.91,4.635,1000.233,-20.06,-2.00,1.01,0,0.00,-19.55,-1.95,1074.54,537.27,0
253,Entry short,2025-05-10 09:00,Short Entry,215.8,4.635,1000.233,-20.06,-2.00,1.01,0,0.00,-19.55,-1.95,1074.54,537.27,0
254,Exit short,2025-05-14 05:00,Trailing Stop,229.42,4.323,999.82344,7.04,0.70,1,17.53,1.75,-18.48,-1.85,1081.59,540.79,1
254,Entry short,2025-05-14 01:00,Short Entry,231.28,4.323,999.82344,7.04,0.70,1,17.53,1.75,-18.48,-1.85,1081.59,540.79,1
255,Exit short,2025-05-16 13:00,Trailing Stop,233.71,4.242,999.88182,7.49,0.75,1,17.95,1.79,-7.8,-0.78,1089.07,544.54,0
255,Entry short,2025-05-16 13:00,Short Entry,235.71,4.242,999.88182,7.49,0.75,1,17.95,1.79,-7.8,-0.78,1089.07,544.54,0
256,Exit short,2025-05-18 17:00,Trailing Stop,220.55,4.478,999.89262,11.28,1.13,0.99,21.76,2.17,-0.5,-0.05,1100.35,550.18,0
256,Entry short,2025-05-18 17:00,Short Entry,223.29,4.478,999.89262,11.28,1.13,0.99,21.76,2.17,-0.5,-0.05,1100.35,550.18,0
257,Exit short,2025-05-20 09:00,Trailing Stop,261.13,3.799,999.82082,6.79,0.68,1,17.28,1.73,-4.18,-0.42,1107.14,553.57,0
257,Entry short,2025-05-20 09:00,Short Entry,263.18,3.799,999.82082,6.79,0.68,1,17.28,1.73,-4.18,-0.42,1107.14,553.57,0
258,Exit short,2025-05-24 21:00,Take Profit,257.75,3.759,999.894,30.03,3.00,0.98,30.51,3.05,-0.65,-0.07,1137.17,568.59,1
258,Entry short,2025-05-24 17:00,Short Entry,266,3.759,999.894,30.03,3.00,0.98,30.51,3.05,-0.65,-0.07,1137.17,568.59,1
259,Exit short,2025-05-27 17:00,Trailing Stop,276.57,3.605,999.70255,1.67,0.17,1,12.15,1.22,-11.46,-1.15,1138.84,569.42,1
