Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-07 05:00,Trailing Stop,11.7561,86.296,999.911752,13.59,1.36,1.01,19.09,1.91,-5.68,-0.57,13.59,6.79,0
1,Entry long,2022-01-07 05:00,Long Entry,11.587,86.296,999.911752,13.59,1.36,1.01,19.09,1.91,-5.68,-0.57,13.59,6.79,0
2,Exit long,2022-01-07 17:00,Stop Loss,11.2824,86.948,999.988948,-20,-2.00,0.99,4.72,0.47,-19.51,-1.95,-6.41,-3.21,0
2,Entry long,2022-01-07 17:00,Long Entry,11.501,86.948,999.988948,-20,-2.00,0.99,4.72,0.47,-19.51,-1.95,-6.41,-3.21,0
3,Exit long,2022-01-08 05:00,Trailing Stop,11.6049,87.542,1000.079808,14.83,1.48,1.01,20.33,2.03,-3.21,-0.32,8.42,4.21,1
3,Entry long,2022-01-08 01:00,Long Entry,11.424,87.542,1000.079808,14.83,1.48,1.01,20.33,2.03,-3.21,-0.32,8.42,4.21,1
4,Exit long,2022-01-11 01:00,Trailing Stop,10.3891,98.222,1000.194626,19.23,1.92,1.01,24.74,2.47,-11.8,-1.18,27.65,13.82,1
4,Entry long,2022-01-10 21:00,Long Entry,10.183,98.222,1000.194626,19.23,1.92,1.01,24.74,2.47,-11.8,-1.18,27.65,13.82,1
5,Exit long,2022-01-21 09:00,Stop Loss,9.0879,107.944,999.993216,-20,-2.00,0.99,9.43,0.94,-19.51,-1.95,7.65,3.83,1
5,Entry long,2022-01-21 05:00,Long Entry,9.264,107.944,999.993216,-20,-2.00,0.99,9.43,0.94,-19.51,-1.95,7.65,3.83,1
6,Exit long,2022-01-23 21:00,Stop Loss,6.7149,146.07,999.84915,-19.99,-2.00,0.99,0.08,0.01,-19.5,-1.95,-12.34,-6.17,0
6,Entry long,2022-01-23 21:00,Long Entry,6.845,146.07,999.84915,-19.99,-2.00,0.99,0.08,0.01,-19.5,-1.95,-12.34,-6.17,0
7,Exit long,2022-01-24 13:00,Stop Loss,6.0429,162.179,999.02264,-19.98,-2.00,0.99,0,0.00,-19.49,-1.95,-32.32,-16.16,0
7,Entry long,2022-01-24 13:00,Long Entry,6.16,162.179,999.02264,-19.98,-2.00,0.99,0,0.00,-19.49,-1.95,-32.32,-16.16,0
8,Exit short,2022-02-06 17:00,Trailing Stop,8.6638,113.882,999.656196,12.01,1.20,0.99,17.49,1.75,-0.5,-0.05,-20.31,-10.16,0
8,Entry short,2022-02-06 17:00,Short Entry,8.778,113.882,999.656196,12.01,1.20,0.99,17.49,1.75,-0.5,-0.05,-20.31,-10.16,0
9,Exit long,2022-02-20 09:00,Trailing Stop,7.2821,138.888,999.715824,10.67,1.07,1.01,16.17,1.62,-0.5,-0.05,-9.64,-4.82,0
9,Entry long,2022-02-20 09:00,Long Entry,7.198,138.888,999.715824,10.67,1.07,1.01,16.17,1.62,-0.5,-0.05,-9.64,-4.82,0
10,Exit long,2022-02-20 17:00,Stop Loss,6.9641,140.864,999.993536,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-29.63,-14.82,0
10,Entry long,2022-02-20 17:00,Long Entry,7.099,140.864,999.993536,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-29.63,-14.82,0
11,Exit long,2022-02-21 01:00,Take Profit,7.5057,137.381,1000.13368,29.99,3.00,1.02,30.51,3.05,-0.91,-0.09,0.36,0.18,0
11,Entry long,2022-02-21 01:00,Long Entry,7.28,137.381,1000.13368,29.99,3.00,1.02,30.51,3.05,-0.91,-0.09,0.36,0.18,0
12,Exit long,2022-02-21 13:00,Trailing Stop,7.1745,140.745,1000.274715,8.5,0.85,1.01,14,1.40,-0.5,-0.05,8.86,4.43,0
12,Entry long,2022-02-21 13:00,Long Entry,7.107,140.745,1000.274715,8.5,0.85,1.01,14,1.40,-0.5,-0.05,8.86,4.43,0
13,Exit long,2022-02-22 05:00,Take Profit,6.4933,158.78,999.99644,29.99,3.00,1.02,30.51,3.05,-3.83,-0.38,38.85,19.43,0
13,Entry long,2022-02-22 05:00,Long Entry,6.298,158.78,999.99644,29.99,3.00,1.02,30.51,3.05,-3.83,-0.38,38.85,19.43,0
14,Exit long,2022-02-24 13:00,Stop Loss,6.2862,155.981,999.526248,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,18.86,9.43,0
14,Entry long,2022-02-24 13:00,Long Entry,6.408,155.981,999.526248,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,18.86,9.43,0
15,Exit long,2022-03-07 21:00,Take Profit,6.3314,162.813,999.834633,29.98,3.00,1.02,30.5,3.05,-8.48,-0.85,48.85,24.42,0
