Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
100,Entry long,2023-03-08 09:00,Long Entry,1.513,660.501,999.338013,-20.01,-2.00,0.99,2.8,0.28,-19.52,-1.95,501.68,250.84,0
101,Exit long,2023-03-09 09:00,Trailing Stop,1.4865,684.931,999.314329,17.83,1.78,1.01,28.27,2.83,-14.2,-1.42,519.51,259.76,2
101,Entry long,2023-03-09 01:00,Long Entry,1.459,684.931,999.314329,17.83,1.78,1.01,28.27,2.83,-14.2,-1.42,519.51,259.76,2
102,Exit long,2023-03-10 05:00,Trailing Stop,1.3566,741.839,1000.740811,4.63,0.46,1,15.08,1.51,-11.63,-1.16,524.14,262.07,1
102,Entry long,2023-03-10 01:00,Long Entry,1.349,741.839,1000.740811,4.63,0.46,1,15.08,1.51,-11.63,-1.16,524.14,262.07,1
103,Exit long,2023-03-10 17:00,Trailing Stop,1.3655,739.644,1000.738332,8.24,0.82,1.01,18.73,1.87,-14.55,-1.45,532.38,266.19,1
103,Entry long,2023-03-10 13:00,Long Entry,1.353,739.644,1000.738332,8.24,0.82,1.01,18.73,1.87,-14.55,-1.45,532.38,266.19,1
104,Exit short,2023-03-18 09:00,Take Profit,1.6715,579.374,999.42015,30.01,3.00,0.98,30.5,3.05,-1.66,-0.17,562.4,281.20,0
104,Entry short,2023-03-18 09:00,Short Entry,1.725,579.374,999.42015,30.01,3.00,0.98,30.5,3.05,-1.66,-0.17,562.4,281.20,0
105,Exit short,2023-04-05 09:00,Trailing Stop,1.5882,616.522,999.998684,19.85,1.98,0.99,30.33,3.03,-11.6,-1.16,582.25,291.12,1
105,Entry short,2023-04-05 05:00,Short Entry,1.622,616.522,999.998684,19.85,1.98,0.99,30.33,3.03,-11.6,-1.16,582.25,291.12,1
106,Exit short,2023-04-07 21:00,Trailing Stop,1.6314,608.642,999.998806,6.06,0.61,1,16.54,1.65,-6.59,-0.66,588.31,294.15,1
106,Entry short,2023-04-07 17:00,Short Entry,1.643,608.642,999.998806,6.06,0.61,1,16.54,1.65,-6.59,-0.66,588.31,294.15,1
107,Exit short,2023-04-09 05:00,Trailing Stop,1.6829,591.715,999.99835,3.2,0.32,1,13.7,1.37,-4.05,-0.40,591.51,295.76,0
107,Entry short,2023-04-09 05:00,Short Entry,1.69,591.715,999.99835,3.2,0.32,1,13.7,1.37,-4.05,-0.40,591.51,295.76,0
108,Exit short,2023-04-09 21:00,Trailing Stop,1.7081,584.112,1000.583856,1.86,0.19,1,12.35,1.23,-7.51,-0.75,593.38,296.69,0
108,Entry short,2023-04-09 21:00,Short Entry,1.713,584.112,1000.583856,1.86,0.19,1,12.35,1.23,-7.51,-0.75,593.38,296.69,0
109,Exit short,2023-04-10 05:00,Stop Loss,1.7446,584.453,1000.583536,-20.06,-2.00,1.01,2.42,0.24,-19.55,-1.95,573.31,286.66,0
109,Entry short,2023-04-10 05:00,Short Entry,1.712,584.453,1000.583536,-20.06,-2.00,1.01,2.42,0.24,-19.55,-1.95,573.31,286.66,0
110,Exit short,2023-04-14 09:00,Take Profit,1.6909,573.394,1000.57253,30.04,3.00,0.99,30.52,3.05,-6.23,-0.62,603.35,301.67,1
110,Entry short,2023-04-14 05:00,Short Entry,1.745,573.394,1000.57253,30.04,3.00,0.99,30.52,3.05,-6.23,-0.62,603.35,301.67,1
111,Exit short,2023-04-16 21:00,Trailing Stop,1.7608,560.224,999.99984,12.56,1.26,0.99,23.03,2.30,-13.39,-1.34,615.91,307.96,1
111,Entry short,2023-04-16 17:00,Short Entry,1.785,560.224,999.99984,12.56,1.26,0.99,23.03,2.30,-13.39,-1.34,615.91,307.96,1
112,Exit short,2023-04-17 05:00,Trailing Stop,1.7627,564.015,999.43458,4.25,0.42,1,14.73,1.47,-2.76,-0.28,620.16,310.08,1
112,Entry short,2023-04-17 01:00,Short Entry,1.772,564.015,999.43458,4.25,0.42,1,14.73,1.47,-2.76,-0.28,620.16,310.08,1
113,Exit short,2023-04-19 05:00,Take Profit,1.7771,544.959,999.454806,30.02,3.00,0.98,30.51,3.05,-17.39,-1.74,650.19,325.09,3
113,Entry short,2023-04-18 17:00,Short Entry,1.834,544.959,999.454806,30.02,3.00,0.98,30.51,3.05,-17.39,-1.74,650.19,325.09,3
114,Exit long,2023-04-23 21:00,Trailing Stop,1.5051,671.14,1000.66974,8.46,0.84,1.01,18.96,1.89,-13.25,-1.32,658.64,329.32,0
114,Entry long,2023-04-23 21:00,Long Entry,1.491,671.14,1000.66974,8.46,0.84,1.01,18.96,1.89,-13.25,-1.32,658.64,329.32,0
115,Exit long,2023-05-09 01:00,Trailing Stop,1.2991,771.604,999.998784,1.39,0.14,1,11.85,1.18,-4.36,-0.44,660.03,330.02,1
115,Entry long,2023-05-08 21:00,Long Entry,1.296,771.604,999.998784,1.39,0.14,1,11.85,1.18,-4.36,-0.44,660.03,330.02,1
116,Exit long,2023-05-12 05:00,Trailing Stop,1.2318,814.332,1000.814028,1.28,0.13,1,11.71,1.17,-5.39,-0.54,661.31,330.66,0
