Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-07 09:00,Trailing Stop,0.73747,1374.57,999.999675,12.7,1.27,1.01,18.19,1.82,-0.5,-0.05,12.7,6.35,0
1,Entry long,2022-01-07 09:00,Long Entry,0.7275,1374.57,999.999675,12.7,1.27,1.01,18.19,1.82,-0.5,-0.05,12.7,6.35,0
2,Exit long,2022-01-08 09:00,Stop Loss,0.73506,1334.935,1000.266795,-20,-2.00,0.99,7.91,0.79,-19.51,-1.95,-7.3,-3.65,1
2,Entry long,2022-01-08 05:00,Long Entry,0.7493,1334.935,1000.266795,-20,-2.00,0.99,7.91,0.79,-19.51,-1.95,-7.3,-3.65,1
3,Exit long,2022-01-08 21:00,Trailing Stop,0.70128,1460.28,999.853716,23.2,2.32,1.01,28.71,2.87,-13.35,-1.33,15.9,7.95,0
3,Entry long,2022-01-08 21:00,Long Entry,0.6847,1460.28,999.853716,23.2,2.32,1.01,28.71,2.87,-13.35,-1.33,15.9,7.95,0
4,Exit long,2022-01-10 17:00,Trailing Stop,0.66114,1534.212,1000.306224,13.02,1.30,1.01,18.52,1.85,-7.56,-0.76,28.91,14.46,0
4,Entry long,2022-01-10 17:00,Long Entry,0.652,1534.212,1000.306224,13.02,1.30,1.01,18.52,1.85,-7.56,-0.76,28.91,14.46,0
5,Exit short,2022-01-16 05:00,Trailing Stop,0.85429,1163.196,999.9996012,5.3,0.53,1,10.78,1.08,-0.5,-0.05,34.21,17.10,0
5,Entry short,2022-01-16 05:00,Short Entry,0.8597,1163.196,999.9996012,5.3,0.53,1,10.78,1.08,-0.5,-0.05,34.21,17.10,0
6,Exit short,2022-01-16 21:00,Trailing Stop,0.86517,1142.465,1000.113861,10.69,1.07,0.99,16.18,1.62,-0.5,-0.05,44.9,22.45,0
6,Entry short,2022-01-16 21:00,Short Entry,0.8754,1142.465,1000.113861,10.69,1.07,0.99,16.18,1.62,-0.5,-0.05,44.9,22.45,0
7,Exit short,2022-01-17 09:00,Take Profit,0.85543,1132.631,999.8866468,30.02,3.00,0.98,30.5,3.05,-3.78,-0.38,74.92,37.46,0
7,Entry short,2022-01-17 09:00,Short Entry,0.8828,1132.631,999.8866468,30.02,3.00,0.98,30.5,3.05,-3.78,-0.38,74.92,37.46,0
8,Exit short,2022-01-18 05:00,Trailing Stop,0.89867,1093.493,999.7806499,16.1,1.61,0.99,21.59,2.16,-0.5,-0.05,91.02,45.51,0
8,Entry short,2022-01-18 05:00,Short Entry,0.9143,1093.493,999.7806499,16.1,1.61,0.99,21.59,2.16,-0.5,-0.05,91.02,45.51,0
9,Exit long,2022-01-23 21:00,Stop Loss,0.56034,1750.393,999.8244816,-20,-2.00,0.99,0,0.00,-19.51,-1.95,71.02,35.51,0
9,Entry long,2022-01-23 21:00,Long Entry,0.5712,1750.393,999.8244816,-20,-2.00,0.99,0,0.00,-19.51,-1.95,71.02,35.51,0
10,Exit long,2022-01-24 13:00,Trailing Stop,0.50573,2023.472,999.9998624,22.32,2.23,1.01,27.83,2.78,-0.5,-0.05,93.34,46.67,0
10,Entry long,2022-01-24 13:00,Long Entry,0.4942,2023.472,999.9998624,22.32,2.23,1.01,27.83,2.78,-0.5,-0.05,93.34,46.67,0
11,Exit short,2022-02-05 13:00,Stop Loss,0.60101,1695.202,999.8301396,-20.01,-2.00,1.01,0,0.00,-19.5,-1.95,73.32,36.66,0
11,Entry short,2022-02-05 13:00,Short Entry,0.5898,1695.202,999.8301396,-20.01,-2.00,1.01,0,0.00,-19.5,-1.95,73.32,36.66,0
