Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
286,Exit short,2025-12-10 21:00,Take Profit,3219.79,0.3009,999.83052,30.01,3.00,0.98,30.5,3.05,-1.69,-0.17,718.66,359.33,0
286,Entry short,2025-12-10 21:00,Short Entry,3322.8,0.3009,999.83052,30.01,3.00,0.98,30.5,3.05,-1.69,-0.17,718.66,359.33,0
287,Exit long,2025-12-18 21:00,Take Profit,2914.97,0.3536,999.740352,29.98,3.00,1.02,30.49,3.05,-7.99,-0.80,748.64,374.32,0
287,Entry long,2025-12-18 21:00,Long Entry,2827.32,0.3536,999.740352,29.98,3.00,1.02,30.49,3.05,-7.99,-0.80,748.64,374.32,0
288,Exit short,2026-01-04 21:00,Stop Loss,3199.18,0.3185,999.93712,-20.01,-2.00,1.01,7.31,0.73,-19.5,-1.95,728.62,364.31,4
288,Entry short,2026-01-04 05:00,Short Entry,3139.52,0.3185,999.93712,-20.01,-2.00,1.01,7.31,0.73,-19.5,-1.95,728.62,364.31,4
289,Exit short,2026-01-05 13:00,Stop Loss,3215.97,0.3168,999.8208,-20.01,-2.00,1.01,6.92,0.69,-19.5,-1.95,708.62,354.31,2
289,Entry short,2026-01-05 05:00,Short Entry,3156,0.3168,999.8208,-20.01,-2.00,1.01,6.92,0.69,-19.5,-1.95,708.62,354.31,2
290,Exit short,2026-01-06 09:00,Stop Loss,3279.15,0.3107,999.8326,-20.01,-2.00,1.01,1.12,0.11,-19.5,-1.95,688.61,344.30,1
290,Entry short,2026-01-06 05:00,Short Entry,3218,0.3107,999.8326,-20.01,-2.00,1.01,1.12,0.11,-19.5,-1.95,688.61,344.30,1
291,Exit short,2026-01-06 17:00,Stop Loss,3283.42,0.3103,999.845557,-20.01,-2.00,1.01,0,0.00,-19.5,-1.95,668.6,334.30,0
291,Entry short,2026-01-06 17:00,Short Entry,3222.19,0.3103,999.845557,-20.01,-2.00,1.01,0,0.00,-19.5,-1.95,668.6,334.30,0
292,Exit short,2026-01-07 09:00,Trailing Stop,3226.93,0.3062,999.917534,10.84,1.08,0.99,21.33,2.13,-2.13,-0.21,679.44,339.72,2
292,Entry short,2026-01-07 01:00,Short Entry,3265.57,0.3062,999.917534,10.84,1.08,0.99,21.33,2.13,-2.13,-0.21,679.44,339.72,2
293,Exit short,2026-01-15 01:00,Trailing Stop,3308.89,0.2982,999.948096,12.24,1.22,0.99,22.74,2.27,-0.9,-0.09,691.68,345.84,1
293,Entry short,2026-01-14 21:00,Short Entry,3353.28,0.2982,999.948096,12.24,1.22,0.99,22.74,2.27,-0.9,-0.09,691.68,345.84,1
294,Exit long,2026-01-25 21:00,Trailing Stop,2869.87,0.3551,999.780499,18.3,1.83,1.01,28.81,2.88,-2.19,-0.22,709.98,354.99,0
294,Entry long,2026-01-25 21:00,Long Entry,2815.49,0.3551,999.780499,18.3,1.83,1.01,28.81,2.88,-2.19,-0.22,709.98,354.99,0
295,Exit long,2026-01-29 21:00,Stop Loss,2767.4,0.3544,999.7624,-19.99,-2.00,0.99,1.72,0.17,-19.5,-1.95,690,345.00,0
295,Entry long,2026-01-29 21:00,Long Entry,2821,0.3544,999.7624,-19.99,-2.00,0.99,1.72,0.17,-19.5,-1.95,690,345.00,0
296,Exit long,2026-01-30 09:00,Stop Loss,2706.07,0.3625,999.952625,-19.99,-2.00,0.99,2.04,0.20,-19.5,-1.95,670,335.00,0
296,Entry long,2026-01-30 09:00,Long Entry,2758.49,0.3625,999.952625,-19.99,-2.00,0.99,2.04,0.20,-19.5,-1.95,670,335.00,0
297,Exit long,2026-01-30 17:00,Stop Loss,2689.27,0.3647,999.773992,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,650.02,325.01,0
297,Entry long,2026-01-30 17:00,Long Entry,2741.36,0.3647,999.773992,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,650.02,325.01,0
298,Exit long,2026-02-01 17:00,Trailing Stop,2325.02,0.4311,999.845919,1.47,0.15,1,11.97,1.20,-0.5,-0.05,651.48,325.74,0
298,Entry long,2026-02-01 17:00,Long Entry,2319.29,0.4311,999.845919,1.47,0.15,1,11.97,1.20,-0.5,-0.05,651.48,325.74,0
299,Exit long,2026-02-02 09:00,Take Profit,2351.92,0.4383,999.84996,29.98,3.00,1.02,30.5,3.05,-0.68,-0.07,681.47,340.73,0
299,Entry long,2026-02-02 09:00,Long Entry,2281.2,0.4383,999.84996,29.98,3.00,1.02,30.5,3.05,-0.68,-0.07,681.47,340.73,0
300,Exit long,2026-02-04 01:00,Trailing Stop,2272.68,0.4479,999.815817,17.11,1.71,1.01,27.61,2.76,-5.18,-0.52,698.57,349.29,1
300,Entry long,2026-02-03 21:00,Long Entry,2232.23,0.4479,999.815817,17.11,1.71,1.01,27.61,2.76,-5.18,-0.52,698.57,349.29,1
301,Exit long,2026-02-04 17:00,Stop Loss,2146.19,0.457,999.80632,-19.99,-2.00,0.99,1.57,0.16,-19.5,-1.95,678.59,339.29,0
301,Entry long,2026-02-04 17:00,Long Entry,2187.76,0.457,999.80632,-19.99,-2.00,0.99,1.57,0.16,-19.5,-1.95,678.59,339.29,0
302,Exit long,2026-02-06 01:00,Take Profit,1949.81,0.5287,999.866866,29.98,3.00,1.02,30.5,3.05,-3.76,-0.38,708.57,354.28,0
302,Entry long,2026-02-06 01:00,Long Entry,1891.18,0.5287,999.866866,29.98,3.00,1.02,30.5,3.05,-3.76,-0.38,708.57,354.28,0
303,Exit long,2026-02-24 09:00,Trailing Stop,1831.34,0.5477,999.963275,2.06,0.21,1,12.56,1.26,-0.5,-0.05,710.63,355.31,0
303,Entry long,2026-02-24 09:00,Long Entry,1825.75,0.5477,999.963275,2.06,0.21,1,12.56,1.26,-0.5,-0.05,710.63,355.31,0
304,Exit short,2026-03-05 01:00,Trailing Stop,2115.13,0.4703,999.843691,4.1,0.41,1,14.59,1.46,-7.84,-0.78,714.73,357.36,1
304,Entry short,2026-03-04 21:00,Short Entry,2125.97,0.4703,999.843691,4.1,0.41,1,14.59,1.46,-7.84,-0.78,714.73,357.36,1
305,Exit long,2026-03-22 17:00,Stop Loss,2042.41,0.4803,999.970191,-19.99,-2.00,0.99,0.26,0.03,-19.5,-1.95,694.74,347.37,1
305,Entry long,2026-03-22 13:00,Long Entry,2081.97,0.4803,999.970191,-19.99,-2.00,0.99,0.26,0.03,-19.5,-1.95,694.74,347.37,1
306,Exit long,2026-03-23 09:00,Trailing Stop,2171.21,0.4686,999.94554,16.47,1.65,1.01,26.98,2.70,-13.86,-1.39,711.21,355.61,0
306,Entry long,2026-03-23 09:00,Long Entry,2133.9,0.4686,999.94554,16.47,1.65,1.01,26.98,2.70,-13.86,-1.39,711.21,355.61,0
307,Exit long,2026-03-28 09:00,Trailing Stop,2029.31,0.4985,999.966075,10.64,1.06,1.01,21.14,2.11,-7.85,-0.78,721.85,360.93,1
307,Entry long,2026-03-28 05:00,Long Entry,2005.95,0.4985,999.966075,10.64,1.06,1.01,21.14,2.11,-7.85,-0.78,721.85,360.93,1
