Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
29,Entry long,2022-04-09 01:00,Long Entry,0.4974,2010.858,1000.200769,7.3,0.73,1,17.8,1.78,-6.53,-0.65,207.75,103.87,1
30,Exit long,2022-04-10 17:00,Stop Loss,0.49265,1992.031,1000.397968,-20.01,-2.00,0.99,6.87,0.69,-19.52,-1.95,187.73,93.87,0
30,Entry long,2022-04-10 17:00,Long Entry,0.5022,1992.031,1000.397968,-20.01,-2.00,0.99,6.87,0.69,-19.52,-1.95,187.73,93.87,0
31,Exit long,2022-04-11 05:00,Stop Loss,0.45332,2164.033,999.9996493,-19.99,-2.00,0.99,2.53,0.25,-19.5,-1.95,167.74,83.87,0
31,Entry long,2022-04-11 05:00,Long Entry,0.4621,2164.033,999.9996493,-19.99,-2.00,0.99,2.53,0.25,-19.5,-1.95,167.74,83.87,0
32,Exit long,2022-04-12 21:00,Stop Loss,0.41672,2354.048,999.9995904,-20.01,-2.00,0.99,5.62,0.56,-19.52,-1.95,147.73,73.87,0
32,Entry long,2022-04-12 21:00,Long Entry,0.4248,2354.048,999.9995904,-20.01,-2.00,0.99,5.62,0.56,-19.52,-1.95,147.73,73.87,0
33,Exit long,2022-04-18 01:00,Stop Loss,0.39828,2463.661,1000.246366,-20.01,-2.00,0.99,0,0.00,-19.52,-1.95,127.72,63.86,0
33,Entry long,2022-04-18 01:00,Long Entry,0.406,2463.661,1000.246366,-20.01,-2.00,0.99,0,0.00,-19.52,-1.95,127.72,63.86,0
34,Exit long,2022-04-18 09:00,Trailing Stop,0.3977,2562.788,999.9998776,18.21,1.82,1.01,28.72,2.87,-1.27,-0.13,145.93,72.97,0
34,Entry long,2022-04-18 09:00,Long Entry,0.3902,2562.788,999.9998776,18.21,1.82,1.01,28.72,2.87,-1.27,-0.13,145.93,72.97,0
35,Exit long,2022-06-13 13:00,Take Profit,0.16775,6142.506,999.3857262,30,3.00,1.01,30.52,3.05,-12.17,-1.22,175.94,87.97,0
35,Entry long,2022-06-13 13:00,Long Entry,0.1627,6142.506,999.3857262,30,3.00,1.01,30.52,3.05,-12.17,-1.22,175.94,87.97,0
36,Exit long,2022-06-18 21:00,Trailing Stop,0.1618,6226.65,999.99999,6.47,0.65,1,16.93,1.69,-0.5,-0.05,182.41,91.20,0
36,Entry long,2022-06-18 21:00,Long Entry,0.1606,6226.65,999.99999,6.47,0.65,1,16.93,1.69,-0.5,-0.05,182.41,91.20,0
37,Exit short,2022-06-23 13:00,Stop Loss,0.20686,4928.536,1000.492808,-20.03,-2.00,1.01,8.86,0.89,-19.52,-1.95,162.37,81.19,0
37,Entry short,2022-06-23 13:00,Short Entry,0.203,4928.536,1000.492808,-20.03,-2.00,1.01,8.86,0.89,-19.52,-1.95,162.37,81.19,0
38,Exit short,2022-06-23 21:00,Stop Loss,0.21328,4777.83,999.999819,-20.03,-2.00,1.01,0.46,0.05,-19.52,-1.95,142.35,71.17,0
38,Entry short,2022-06-23 21:00,Short Entry,0.2093,4777.83,999.999819,-20.03,-2.00,1.01,0.46,0.05,-19.52,-1.95,142.35,71.17,0
39,Exit short,2022-06-24 09:00,Stop Loss,0.21746,4683.84,999.531456,-20.03,-2.00,1.01,6.53,0.65,-19.52,-1.95,122.32,61.16,1
