Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2022-01-03 17:00,Trailing Stop,3751.11,0.2643,999.659247,7.25,0.72,1,12.74,1.27,-3.28,-0.33,7.25,3.62,1
1,Entry short,2022-01-03 13:00,Short Entry,3782.29,0.2643,999.659247,7.25,0.72,1,12.74,1.27,-3.28,-0.33,7.25,3.62,1
2,Exit short,2022-01-04 21:00,Trailing Stop,3786.05,0.2623,999.8876,5.81,0.58,1,11.3,1.13,-6.11,-0.61,13.06,6.53,1
2,Entry short,2022-01-04 17:00,Short Entry,3812,0.2623,999.8876,5.81,0.58,1,11.3,1.13,-6.11,-0.61,13.06,6.53,1
3,Exit long,2022-01-07 09:00,Trailing Stop,3252.77,0.31,999.7717,7.58,0.76,1,13.08,1.31,-0.5,-0.05,20.64,10.32,0
3,Entry long,2022-01-07 09:00,Long Entry,3225.07,0.31,999.7717,7.58,0.76,1,13.08,1.31,-0.5,-0.05,20.64,10.32,0
4,Exit long,2022-01-07 21:00,Trailing Stop,3230.57,0.3128,999.699416,9.82,0.98,1.01,15.32,1.53,-10.48,-1.05,30.46,15.23,1
4,Entry long,2022-01-07 17:00,Long Entry,3195.97,0.3128,999.699416,9.82,0.98,1.01,15.32,1.53,-10.48,-1.05,30.46,15.23,1
5,Exit long,2022-01-08 21:00,Trailing Stop,3130.06,0.3246,999.722556,15.29,1.53,1.01,20.79,2.08,-7.92,-0.79,45.74,22.87,0
5,Entry long,2022-01-08 21:00,Long Entry,3079.86,0.3246,999.722556,15.29,1.53,1.01,20.79,2.08,-7.92,-0.79,45.74,22.87,0
6,Exit long,2022-01-10 21:00,Trailing Stop,3080.81,0.3301,999.83989,16.13,1.61,1.01,21.63,2.16,-4.16,-0.42,61.87,30.94,1
6,Entry long,2022-01-10 17:00,Long Entry,3028.9,0.3301,999.83989,16.13,1.61,1.01,21.63,2.16,-4.16,-0.42,61.87,30.94,1
7,Exit long,2022-01-21 09:00,Stop Loss,2825.09,0.3472,999.870032,-19.99,-2.00,0.99,5.3,0.53,-19.5,-1.95,41.88,20.94,1
7,Entry long,2022-01-21 05:00,Long Entry,2879.81,0.3472,999.870032,-19.99,-2.00,0.99,5.3,0.53,-19.5,-1.95,41.88,20.94,1
8,Exit long,2022-01-24 13:00,Stop Loss,2230.63,0.4397,999.807448,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,21.89,10.95,0
