Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
245,Exit short,2024-10-23 21:00,Stop Loss,174.07,5.854,999.98028,-20.03,-2.00,1.01,1.61,0.16,-19.53,-1.95,726.83,363.42,0
245,Entry short,2024-10-23 21:00,Short Entry,170.82,5.854,999.98028,-20.03,-2.00,1.01,1.61,0.16,-19.53,-1.95,726.83,363.42,0
246,Exit short,2024-10-24 05:00,Trailing Stop,172.6,5.763,999.82287,4.13,0.41,1,14.6,1.46,-5.69,-0.57,730.97,365.48,0
246,Entry short,2024-10-24 05:00,Short Entry,173.49,5.763,999.82287,4.13,0.41,1,14.6,1.46,-5.69,-0.57,730.97,365.48,0
247,Exit short,2024-10-25 01:00,Take Profit,171.6,5.646,999.9066,30.07,3.01,0.98,30.55,3.05,-2.19,-0.22,761.03,380.52,1
247,Entry short,2024-10-24 21:00,Short Entry,177.1,5.646,999.9066,30.07,3.01,0.98,30.55,3.05,-2.19,-0.22,761.03,380.52,1
248,Exit short,2024-10-29 09:00,Trailing Stop,180.11,5.551,999.84612,-0.94,-0.09,1,9.55,0.95,-9.88,-0.99,760.09,380.04,1
248,Entry short,2024-10-29 05:00,Short Entry,180.12,5.551,999.84612,-0.94,-0.09,1,9.55,0.95,-9.88,-0.99,760.09,380.04,1
249,Exit long,2024-11-02 01:00,Trailing Stop,166.91,6.005,999.9526,1.34,0.13,1,11.81,1.18,-16.59,-1.66,761.43,380.72,2
249,Entry long,2024-11-01 17:00,Long Entry,166.52,6.005,999.9526,1.34,0.13,1,11.81,1.18,-16.59,-1.66,761.43,380.72,2
250,Exit long,2024-11-02 21:00,Trailing Stop,165.21,6.057,999.95013,-0.27,-0.03,1,10.22,1.02,-2.07,-0.21,761.16,380.58,1
250,Entry long,2024-11-02 17:00,Long Entry,165.09,6.057,999.95013,-0.27,-0.03,1,10.22,1.02,-2.07,-0.21,761.16,380.58,1
251,Exit long,2024-11-03 09:00,Stop Loss,160.36,6.117,999.94599,-20.01,-2.00,0.99,7.45,0.74,-19.52,-1.95,741.14,370.57,1
251,Entry long,2024-11-03 05:00,Long Entry,163.47,6.117,999.94599,-20.01,-2.00,0.99,7.45,0.74,-19.52,-1.95,741.14,370.57,1
252,Exit long,2024-11-03 21:00,Trailing Stop,162.15,6.211,999.90889,6.2,0.62,1,16.64,1.66,-4.04,-0.40,747.34,373.67,1
252,Entry long,2024-11-03 17:00,Long Entry,160.99,6.211,999.90889,6.2,0.62,1,16.64,1.66,-4.04,-0.40,747.34,373.67,1
253,Exit long,2024-11-05 09:00,Take Profit,164.51,6.267,999.96252,30.01,3.00,1.02,30.52,3.05,-2.51,-0.25,777.35,388.68,2
253,Entry long,2024-11-05 01:00,Long Entry,159.56,6.267,999.96252,30.01,3.00,1.02,30.52,3.05,-2.51,-0.25,777.35,388.68,2
254,Exit short,2024-11-06 17:00,Stop Loss,189.1,5.388,999.85116,-20.03,-2.00,1.01,3.76,0.38,-19.52,-1.95,757.32,378.66,1
254,Entry short,2024-11-06 13:00,Short Entry,185.57,5.388,999.85116,-20.03,-2.00,1.01,3.76,0.38,-19.52,-1.95,757.32,378.66,1
255,Exit short,2024-11-06 21:00,Trailing Stop,187.7,5.258,999.96644,12.05,1.20,0.99,22.53,2.25,0,0.00,769.37,384.68,1
255,Entry short,2024-11-06 17:00,Short Entry,190.18,5.258,999.96644,12.05,1.20,0.99,22.53,2.25,0,0.00,769.37,384.68,1
256,Exit short,2024-11-07 09:00,Trailing Stop,187.86,5.316,999.83328,0.17,0.02,1,10.66,1.07,-7.62,-0.76,769.54,384.77,1
256,Entry short,2024-11-07 05:00,Short Entry,188.08,5.316,999.83328,0.17,0.02,1,10.66,1.07,-7.62,-0.76,769.54,384.77,1
257,Exit short,2024-11-07 21:00,Stop Loss,200.2,5.089,999.78494,-20.04,-2.00,1.01,3.42,0.34,-19.53,-1.95,749.5,374.75,0
257,Entry short,2024-11-07 21:00,Short Entry,196.46,5.089,999.78494,-20.04,-2.00,1.01,3.42,0.34,-19.53,-1.95,749.5,374.75,0
258,Exit short,2024-11-10 17:00,Stop Loss,212.57,4.793,999.8198,-20.04,-2.00,1.01,0,0.00,-19.53,-1.95,729.46,364.73,0
258,Entry short,2024-11-10 17:00,Short Entry,208.6,4.793,999.8198,-20.04,-2.00,1.01,0,0.00,-19.53,-1.95,729.46,364.73,0
259,Exit short,2024-11-11 17:00,Stop Loss,222.11,4.587,999.78252,-20.05,-2.00,1.01,4.82,0.48,-19.54,-1.95,709.41,354.71,0
259,Entry short,2024-11-11 17:00,Short Entry,217.96,4.587,999.78252,-20.05,-2.00,1.01,4.82,0.48,-19.54,-1.95,709.41,354.71,0
260,Exit short,2024-11-12 01:00,Trailing Stop,218.57,4.527,999.96903,9.51,0.95,0.99,19.96,2.00,-6.34,-0.63,718.92,359.46,0
260,Entry short,2024-11-12 01:00,Short Entry,220.89,4.527,999.96903,9.51,0.95,0.99,19.96,2.00,-6.34,-0.63,718.92,359.46,0
261,Exit short,2024-11-17 09:00,Trailing Stop,231.79,4.254,999.9027,12.88,1.29,0.99,23.36,2.34,-5.95,-0.59,731.8,365.90,0
261,Entry short,2024-11-17 09:00,Short Entry,235.05,4.254,999.9027,12.88,1.29,0.99,23.36,2.34,-5.95,-0.59,731.8,365.90,0
262,Exit short,2024-11-18 05:00,Stop Loss,246.82,4.128,999.84288,-20.04,-2.00,1.01,8.62,0.86,-19.53,-1.95,711.76,355.88,0
262,Entry short,2024-11-18 05:00,Short Entry,242.21,4.128,999.84288,-20.04,-2.00,1.01,8.62,0.86,-19.53,-1.95,711.76,355.88,0
263,Exit short,2024-11-19 17:00,Trailing Stop,235.87,4.154,999.78472,18.99,1.90,0.99,29.45,2.94,-17.41,-1.74,730.75,365.37,1
263,Entry short,2024-11-19 13:00,Short Entry,240.68,4.154,999.78472,18.99,1.90,0.99,29.45,2.94,-17.41,-1.74,730.75,365.37,1
264,Exit long,2024-12-03 01:00,Trailing Stop,227.3,4.427,999.92649,5.33,0.53,1,15.79,1.58,-11.57,-1.16,736.07,368.04,1
264,Entry long,2024-12-02 21:00,Long Entry,225.87,4.427,999.92649,5.33,0.53,1,15.79,1.58,-11.57,-1.16,736.07,368.04,1
265,Exit long,2024-12-03 17:00,Take Profit,235.44,4.378,999.76008,29.98,3.00,1.02,30.5,3.05,-2.6,-0.26,766.06,383.03,0
265,Entry long,2024-12-03 17:00,Long Entry,228.36,4.378,999.76008,29.98,3.00,1.02,30.5,3.05,-2.6,-0.26,766.06,383.03,0
266,Exit long,2024-12-19 05:00,Trailing Stop,209.91,4.791,999.97752,4.7,0.47,1,15.17,1.52,-8.07,-0.81,770.75,385.38,1
266,Entry long,2024-12-19 01:00,Long Entry,208.72,4.791,999.97752,4.7,0.47,1,15.17,1.52,-8.07,-0.81,770.75,385.38,1
267,Exit long,2024-12-19 21:00,Trailing Stop,197.68,5.162,999.93102,19.48,1.95,1.01,29.96,2.99,-11.39,-1.14,790.24,395.12,0
267,Entry long,2024-12-19 21:00,Long Entry,193.71,5.162,999.93102,19.48,1.95,1.01,29.96,2.99,-11.39,-1.14,790.24,395.12,0
268,Exit long,2024-12-20 17:00,Trailing Stop,192.46,5.27,999.8771,13.38,1.34,1.01,23.85,2.38,-9.35,-0.94,803.62,401.81,1
268,Entry long,2024-12-20 13:00,Long Entry,189.73,5.27,999.8771,13.38,1.34,1.01,23.85,2.38,-9.35,-0.94,803.62,401.81,1
269,Exit short,2025-01-04 09:00,Trailing Stop,216.46,4.61,999.8629,0.98,0.10,1,11.44,1.14,-5.11,-0.51,804.6,402.30,2
269,Entry short,2025-01-04 01:00,Short Entry,216.89,4.61,999.8629,0.98,0.10,1,11.44,1.14,-5.11,-0.51,804.6,402.30,2
270,Exit short,2025-01-07 05:00,Take Profit,213.08,4.547,999.8853,30.03,3.00,0.98,30.51,3.05,-2.41,-0.24,834.63,417.31,3
270,Entry short,2025-01-06 17:00,Short Entry,219.9,4.547,999.8853,30.03,3.00,0.98,30.51,3.05,-2.41,-0.24,834.63,417.31,3
271,Exit long,2025-01-09 01:00,Stop Loss,193.61,5.066,999.87642,-20.04,-2.00,0.99,7.66,0.77,-19.55,-1.95,814.59,407.29,1
271,Entry long,2025-01-08 21:00,Long Entry,197.37,5.066,999.87642,-20.04,-2.00,0.99,7.66,0.77,-19.55,-1.95,814.59,407.29,1
272,Exit long,2025-01-09 09:00,Stop Loss,187.44,5.233,999.92164,-20.04,-2.00,0.99,9.02,0.90,-19.55,-1.95,794.55,397.27,0
272,Entry long,2025-01-09 09:00,Long Entry,191.08,5.233,999.92164,-20.04,-2.00,0.99,9.02,0.90,-19.55,-1.95,794.55,397.27,0
273,Exit long,2025-01-10 05:00,Trailing Stop,191.04,5.29,999.8629,9.73,0.97,1.01,20.24,2.02,-4.41,-0.44,804.28,402.14,1
273,Entry long,2025-01-10 01:00,Long Entry,189.01,5.29,999.8629,9.73,0.97,1.01,20.24,2.02,-4.41,-0.44,804.28,402.14,1
