Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-06 13:00,Trailing Stop,227.87,4.479,1000.02633,19.59,1.96,1.01,25.08,2.51,-17.12,-1.71,19.59,9.80,0
1,Entry long,2022-01-06 13:00,Long Entry,223.27,4.479,1000.02633,19.59,1.96,1.01,25.08,2.51,-17.12,-1.71,19.59,9.80,0
2,Exit long,2022-01-07 09:00,Trailing Stop,216.24,4.71,1000.0743,17.41,1.74,1.01,22.91,2.29,-0.5,-0.05,37,18.50,0
2,Entry long,2022-01-07 09:00,Long Entry,212.33,4.71,1000.0743,17.41,1.74,1.01,22.91,2.29,-0.5,-0.05,37,18.50,0
3,Exit long,2022-01-08 21:00,Trailing Stop,214.54,4.713,999.86295,10.26,1.03,1.01,15.76,1.58,-16.29,-1.63,47.26,23.63,0
3,Entry long,2022-01-08 21:00,Long Entry,212.15,4.713,999.86295,10.26,1.03,1.01,15.76,1.58,-16.29,-1.63,47.26,23.63,0
4,Exit long,2022-01-10 21:00,Trailing Stop,199.23,5.133,999.65175,21.98,2.20,1.01,27.48,2.75,-6.71,-0.67,69.24,34.62,1
4,Entry long,2022-01-10 17:00,Long Entry,194.75,5.133,999.65175,21.98,2.20,1.01,27.48,2.75,-6.71,-0.67,69.24,34.62,1
5,Exit short,2022-01-17 01:00,Stop Loss,236.7,4.305,999.9654,-20.04,-2.00,1.01,0,0.00,-19.53,-1.95,49.21,24.60,0
5,Entry short,2022-01-17 01:00,Short Entry,232.28,4.305,999.9654,-20.04,-2.00,1.01,0,0.00,-19.53,-1.95,49.21,24.60,0
6,Exit long,2022-01-24 13:00,Stop Loss,137.31,7.142,999.66574,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,29.22,14.61,0
6,Entry long,2022-01-24 13:00,Long Entry,139.97,7.142,999.66574,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,29.22,14.61,0
7,Exit short,2022-02-10 01:00,Trailing Stop,183.4,5.321,999.60306,22.74,2.27,0.99,28.18,2.82,-2.57,-0.26,51.96,25.98,1
7,Entry short,2022-02-09 21:00,Short Entry,187.86,5.321,999.60306,22.74,2.27,0.99,28.18,2.82,-2.57,-0.26,51.96,25.98,1
8,Exit long,2022-02-14 13:00,Trailing Stop,160.05,6.286,999.91402,5.16,0.52,1,10.63,1.06,-0.5,-0.05,57.12,28.56,0
8,Entry long,2022-02-14 13:00,Long Entry,159.07,6.286,999.91402,5.16,0.52,1,10.63,1.06,-0.5,-0.05,57.12,28.56,0
9,Exit long,2022-02-14 21:00,Take Profit,165.82,6.217,999.88011,30.01,3.00,1.02,30.52,3.05,-3.48,-0.35,87.13,43.56,0
9,Entry long,2022-02-14 21:00,Long Entry,160.83,6.217,999.88011,30.01,3.00,1.02,30.52,3.05,-3.48,-0.35,87.13,43.56,0
10,Exit long,2022-02-18 05:00,Stop Loss,151.61,6.472,1000.2476,-20.02,-2.00,0.99,4.48,0.45,-19.53,-1.95,67.11,33.55,1
10,Entry long,2022-02-18 01:00,Long Entry,154.55,6.472,1000.2476,-20.02,-2.00,0.99,4.48,0.45,-19.53,-1.95,67.11,33.55,1
11,Exit long,2022-02-19 13:00,Trailing Stop,147.03,6.891,999.67737,12.5,1.25,1.01,17.97,1.80,-5.53,-0.55,79.61,39.80,0
11,Entry long,2022-02-19 13:00,Long Entry,145.07,6.891,999.67737,12.5,1.25,1.01,17.97,1.80,-5.53,-0.55,79.61,39.80,0
12,Exit long,2022-02-20 09:00,Stop Loss,136.33,7.196,1000.10008,-20.06,-2.00,0.99,8.85,0.88,-19.57,-1.96,59.55,29.77,0
12,Entry long,2022-02-20 09:00,Long Entry,138.98,7.196,1000.10008,-20.06,-2.00,0.99,8.85,0.88,-19.57,-1.96,59.55,29.77,0
13,Exit long,2022-02-21 13:00,Stop Loss,138.06,7.107,1000.23918,-20.04,-2.00,0.99,9.38,0.94,-19.55,-1.95,39.51,19.76,0
13,Entry long,2022-02-21 13:00,Long Entry,140.74,7.107,1000.23918,-20.04,-2.00,0.99,9.38,0.94,-19.55,-1.95,39.51,19.76,0
14,Exit long,2022-02-22 05:00,Take Profit,132.73,7.768,999.97464,30.06,3.00,1.02,30.57,3.06,-1.74,-0.17,69.57,34.78,0
14,Entry long,2022-02-22 05:00,Long Entry,128.73,7.768,999.97464,30.06,3.00,1.02,30.57,3.06,-1.74,-0.17,69.57,34.78,0
15,Exit long,2022-03-07 21:00,Take Profit,120.28,8.569,999.65954,30,3.00,1.02,30.52,3.05,-9.41,-0.94,99.57,49.79,0
15,Entry long,2022-03-07 21:00,Long Entry,116.66,8.569,999.65954,30,3.00,1.02,30.52,3.05,-9.41,-0.94,99.57,49.79,0
16,Exit short,2022-03-17 13:00,Stop Loss,146.02,6.977,999.73433,-20.06,-2.01,1.01,5.43,0.54,-19.55,-1.95,79.52,39.76,0
16,Entry short,2022-03-17 13:00,Short Entry,143.29,6.977,999.73433,-20.06,-2.01,1.01,5.43,0.54,-19.55,-1.95,79.52,39.76,0
17,Exit short,2022-03-18 01:00,Trailing Stop,150.81,6.589,999.81486,5.13,0.51,1,10.57,1.06,-0.5,-0.05,84.65,42.32,0
17,Entry short,2022-03-18 01:00,Short Entry,151.74,6.589,999.81486,5.13,0.51,1,10.57,1.06,-0.5,-0.05,84.65,42.32,0
18,Exit short,2022-03-18 21:00,Stop Loss,163.23,6.242,999.84356,-20.05,-2.00,1.01,0,0.00,-19.54,-1.95,64.6,32.30,0
18,Entry short,2022-03-18 21:00,Short Entry,160.18,6.242,999.84356,-20.05,-2.00,1.01,0,0.00,-19.54,-1.95,64.6,32.30,0
19,Exit short,2022-03-19 09:00,Stop Loss,163.2,6.244,999.9766,-20.05,-2.00,1.01,5.06,0.51,-19.54,-1.95,44.54,22.27,1
19,Entry short,2022-03-19 05:00,Short Entry,160.15,6.244,999.9766,-20.05,-2.00,1.01,5.06,0.51,-19.54,-1.95,44.54,22.27,1
20,Exit short,2022-03-24 21:00,Trailing Stop,164.98,5.955,999.9636,16.52,1.65,0.99,21.95,2.19,-5.14,-0.51,61.06,30.53,0
20,Entry short,2022-03-24 21:00,Short Entry,167.92,5.955,999.9636,16.52,1.65,0.99,21.95,2.19,-5.14,-0.51,61.06,30.53,0
21,Exit short,2022-03-25 13:00,Trailing Stop,160.81,6.112,999.86208,16,1.60,0.99,21.44,2.14,-12.66,-1.27,77.06,38.53,0
21,Entry short,2022-03-25 13:00,Short Entry,163.59,6.112,999.86208,16,1.60,0.99,21.44,2.14,-12.66,-1.27,77.06,38.53,0
22,Exit short,2022-03-28 05:00,Trailing Stop,169.85,5.849,999.88655,5.44,0.54,1,10.91,1.09,-10.15,-1.01,82.5,41.25,0
22,Entry short,2022-03-28 05:00,Short Entry,170.95,5.849,999.88655,5.44,0.54,1,10.91,1.09,-10.15,-1.01,82.5,41.25,0
23,Exit short,2022-03-28 21:00,Stop Loss,170.72,5.97,1000.1541,-20.05,-2.00,1.01,3.68,0.37,-19.54,-1.95,62.44,31.22,0
23,Entry short,2022-03-28 21:00,Short Entry,167.53,5.97,1000.1541,-20.05,-2.00,1.01,3.68,0.37,-19.54,-1.95,62.44,31.22,0
24,Exit short,2022-04-01 21:00,Trailing Stop,242.32,4.086,999.6399,8.53,0.85,0.99,14.01,1.40,-0.5,-0.05,70.97,35.49,0
24,Entry short,2022-04-01 21:00,Short Entry,244.65,4.086,999.6399,8.53,0.85,0.99,14.01,1.40,-0.5,-0.05,70.97,35.49,0
25,Exit long,2022-04-09 21:00,Trailing Stop,184.47,5.48,999.8808,10.01,1.00,1.01,15.5,1.55,-6.86,-0.69,80.98,40.49,1
25,Entry long,2022-04-09 17:00,Long Entry,182.46,5.48,999.8808,10.01,1.00,1.01,15.5,1.55,-6.86,-0.69,80.98,40.49,1
26,Exit long,2022-04-11 17:00,Stop Loss,158.55,6.187,1000.00481,-20.05,-2.00,0.99,3.89,0.39,-19.56,-1.95,60.93,30.47,0
26,Entry long,2022-04-11 17:00,Long Entry,161.63,6.187,1000.00481,-20.05,-2.00,0.99,3.89,0.39,-19.56,-1.95,60.93,30.47,0
27,Exit long,2022-04-12 01:00,Take Profit,163.8,6.294,999.92778,30.01,3.00,1.02,30.53,3.05,-4.53,-0.45,90.95,45.47,0
27,Entry long,2022-04-12 01:00,Long Entry,158.87,6.294,999.92778,30.01,3.00,1.02,30.53,3.05,-4.53,-0.45,90.95,45.47,0
28,Exit short,2022-04-21 13:00,Take Profit,183.69,5.276,1000.17132,30.04,3.00,0.98,30.52,3.05,-5.09,-0.51,120.99,60.49,0
28,Entry short,2022-04-21 13:00,Short Entry,189.57,5.276,1000.17132,30.04,3.00,0.98,30.52,3.05,-5.09,-0.51,120.99,60.49,0
29,Exit long,2022-04-29 21:00,Take Profit,162.08,6.361,999.9492,30.03,3.00,1.02,30.54,3.05,-2.34,-0.23,151.01,75.51,0
29,Entry long,2022-04-29 21:00,Long Entry,157.2,6.361,999.9492,30.03,3.00,1.02,30.54,3.05,-2.34,-0.23,151.01,75.51,0
30,Exit long,2022-05-01 01:00,Trailing Stop,145.24,6.967,1000.11285,10.77,1.08,1.01,16.22,1.62,-0.5,-0.05,161.78,80.89,0
30,Entry long,2022-05-01 01:00,Long Entry,143.55,6.967,1000.11285,10.77,1.08,1.01,16.22,1.62,-0.5,-0.05,161.78,80.89,0
31,Exit long,2022-05-01 13:00,Trailing Stop,147.96,6.832,999.93152,9.93,0.99,1.01,15.42,1.54,-0.5,-0.05,171.71,85.85,0
31,Entry long,2022-05-01 13:00,Long Entry,146.36,6.832,999.93152,9.93,0.99,1.01,15.42,1.54,-0.5,-0.05,171.71,85.85,0
32,Exit long,2022-05-02 13:00,Stop Loss,141.87,6.915,1000.0473,-20.01,-2.00,0.99,2.47,0.25,-19.52,-1.95,151.7,75.85,0
32,Entry long,2022-05-02 13:00,Long Entry,144.62,6.915,1000.0473,-20.01,-2.00,0.99,2.47,0.25,-19.52,-1.95,151.7,75.85,0
33,Exit long,2022-05-03 21:00,Trailing Stop,143.34,7.087,999.9757,14.87,1.49,1.01,20.34,2.03,-4.11,-0.41,166.57,83.28,0
33,Entry long,2022-05-03 21:00,Long Entry,141.1,7.087,999.9757,14.87,1.49,1.01,20.34,2.03,-4.11,-0.41,166.57,83.28,0
34,Exit long,2022-05-06 13:00,Trailing Stop,138.51,7.278,999.92442,7.15,0.71,1,12.6,1.26,-12.73,-1.27,173.71,86.86,0
34,Entry long,2022-05-06 13:00,Long Entry,137.39,7.278,999.92442,7.15,0.71,1,12.6,1.26,-12.73,-1.27,173.71,86.86,0
35,Exit long,2022-05-08 09:00,Trailing Stop,131.93,7.644,999.98808,7.48,0.75,1,12.95,1.29,-8.76,-0.88,181.19,90.60,1
35,Entry long,2022-05-08 05:00,Long Entry,130.82,7.644,999.98808,7.48,0.75,1,12.95,1.29,-8.76,-0.88,181.19,90.60,1
36,Exit long,2022-05-08 17:00,Stop Loss,127.24,7.709,999.93439,-20.03,-2.00,0.99,1.5,0.15,-19.54,-1.95,161.16,80.58,0
36,Entry long,2022-05-08 17:00,Long Entry,129.71,7.709,999.93439,-20.03,-2.00,0.99,1.5,0.15,-19.54,-1.95,161.16,80.58,0
37,Exit long,2022-05-11 09:00,Trailing Stop,103.14,9.874,999.84124,17.55,1.75,1.01,23,2.30,-0.5,-0.05,178.72,89.36,0
37,Entry long,2022-05-11 09:00,Long Entry,101.26,9.874,999.84124,17.55,1.75,1.01,23,2.30,-0.5,-0.05,178.72,89.36,0
38,Exit long,2022-05-12 09:00,Stop Loss,73.44,13.349,999.43963,-20.08,-2.01,0.99,0,0.00,-19.59,-1.96,158.64,79.32,0
38,Entry long,2022-05-12 09:00,Long Entry,74.87,13.349,999.43963,-20.08,-2.01,0.99,0,0.00,-19.59,-1.96,158.64,79.32,0
39,Exit short,2022-05-25 01:00,Take Profit,101.9,9.512,1000.28192,30.02,3.00,0.98,30.51,3.05,-1.26,-0.13,188.66,94.33,0
39,Entry short,2022-05-25 01:00,Short Entry,105.16,9.512,1000.28192,30.02,3.00,0.98,30.51,3.05,-1.26,-0.13,188.66,94.33,0
40,Exit long,2022-06-13 13:00,Take Profit,60.77,16.963,999.79922,30.03,3.00,1.02,30.54,3.05,-11.87,-1.19,218.69,109.34,0
40,Entry long,2022-06-13 13:00,Long Entry,58.94,16.963,999.79922,30.03,3.00,1.02,30.54,3.05,-11.87,-1.19,218.69,109.34,0
41,Exit long,2022-06-15 09:00,Take Profit,59.09,17.455,1000.34605,30.05,3.00,1.02,30.57,3.05,-10.1,-1.01,248.74,124.37,0
41,Entry long,2022-06-15 09:00,Long Entry,57.31,17.455,1000.34605,30.05,3.00,1.02,30.57,3.05,-10.1,-1.01,248.74,124.37,0
42,Exit long,2022-06-18 09:00,Trailing Stop,52.89,19.142,999.97808,11.44,1.14,1.01,16.92,1.69,-0.5,-0.05,260.18,130.09,0
42,Entry long,2022-06-18 09:00,Long Entry,52.24,19.142,999.97808,11.44,1.14,1.01,16.92,1.69,-0.5,-0.05,260.18,130.09,0
43,Exit long,2022-06-18 21:00,Trailing Stop,50.17,20.165,999.98235,10.69,1.07,1.01,16.04,1.60,-0.5,-0.05,270.87,135.43,0
43,Entry long,2022-06-18 21:00,Long Entry,49.59,20.165,999.98235,10.69,1.07,1.01,16.04,1.60,-0.5,-0.05,270.87,135.43,0
44,Exit long,2022-06-19 09:00,Trailing Stop,52.02,19.569,999.9759,16.99,1.70,1.01,22.4,2.24,-0.5,-0.05,287.86,143.93,0
44,Entry long,2022-06-19 09:00,Long Entry,51.1,19.569,999.9759,16.99,1.70,1.01,22.4,2.24,-0.5,-0.05,287.86,143.93,0
45,Exit short,2022-06-25 09:00,Take Profit,70.54,13.732,999.6896,30.05,3.00,0.98,30.53,3.05,-7.92,-0.79,317.91,158.96,0
45,Entry short,2022-06-25 09:00,Short Entry,72.8,13.732,999.6896,30.05,3.00,0.98,30.53,3.05,-7.92,-0.79,317.91,158.96,0
46,Exit short,2022-07-09 13:00,Stop Loss,76.08,13.394,999.99604,-20.03,-2.00,1.01,0.17,0.02,-19.52,-1.95,297.88,148.94,0
46,Entry short,2022-07-09 13:00,Short Entry,74.66,13.394,999.99604,-20.03,-2.00,1.01,0.17,0.02,-19.52,-1.95,297.88,148.94,0
47,Exit short,2022-07-10 01:00,Stop Loss,79.3,12.851,1000.06482,-20.03,-2.00,1.01,5.41,0.54,-19.52,-1.95,277.86,138.93,0
47,Entry short,2022-07-10 01:00,Short Entry,77.82,12.851,1000.06482,-20.03,-2.00,1.01,5.41,0.54,-19.52,-1.95,277.86,138.93,0
48,Exit short,2022-07-15 09:00,Trailing Stop,91.32,10.829,999.73328,9.83,0.98,0.99,15.31,1.53,-14.14,-1.41,287.69,143.84,1
48,Entry short,2022-07-15 05:00,Short Entry,92.32,10.829,999.73328,9.83,0.98,0.99,15.31,1.53,-14.14,-1.41,287.69,143.84,1
49,Exit short,2022-07-16 17:00,Stop Loss,91.88,11.091,999.96456,-20.09,-2.01,1.01,5.05,0.50,-19.58,-1.96,267.6,133.80,0
49,Entry short,2022-07-16 17:00,Short Entry,90.16,11.091,999.96456,-20.09,-2.01,1.01,5.05,0.50,-19.58,-1.96,267.6,133.80,0
50,Exit short,2022-07-18 09:00,Trailing Stop,94.26,10.439,999.53425,14.56,1.46,0.99,19.96,2.00,-0.5,-0.05,282.17,141.08,0
50,Entry short,2022-07-18 09:00,Short Entry,95.75,10.439,999.53425,14.56,1.46,0.99,19.96,2.00,-0.5,-0.05,282.17,141.08,0
51,Exit short,2022-07-18 17:00,Stop Loss,94.1,10.829,999.94986,-20.07,-2.01,1.01,4.7,0.47,-19.56,-1.96,262.1,131.05,0
51,Entry short,2022-07-18 17:00,Short Entry,92.34,10.829,999.94986,-20.07,-2.01,1.01,4.7,0.47,-19.56,-1.96,262.1,131.05,0
52,Exit short,2022-07-19 13:00,Stop Loss,100.02,10.189,1000.05035,-20.06,-2.01,1.01,0,0.00,-19.55,-1.95,242.03,121.02,0
52,Entry short,2022-07-19 13:00,Short Entry,98.15,10.189,1000.05035,-20.06,-2.01,1.01,0,0.00,-19.55,-1.95,242.03,121.02,0
53,Exit short,2022-07-31 13:00,Trailing Stop,101.42,9.666,999.85104,18.54,1.85,0.99,23.96,2.39,-0.5,-0.05,260.57,130.28,0
53,Entry short,2022-07-31 13:00,Short Entry,103.44,9.666,999.85104,18.54,1.85,0.99,23.96,2.39,-0.5,-0.05,260.57,130.28,0
54,Exit short,2022-08-13 05:00,Trailing Stop,110.17,8.905,1000.0315,17.98,1.80,0.99,23.45,2.34,-10.56,-1.06,278.55,139.27,0
54,Entry short,2022-08-13 05:00,Short Entry,112.3,8.905,1000.0315,17.98,1.80,0.99,23.45,2.34,-10.56,-1.06,278.55,139.27,0
55,Exit long,2022-08-20 21:00,Trailing Stop,83.41,12.091,999.9257,7.58,0.76,1,13.04,1.30,-4.97,-0.50,286.13,143.06,0
55,Entry long,2022-08-20 21:00,Long Entry,82.7,12.091,999.9257,7.58,0.76,1,13.04,1.30,-4.97,-0.50,286.13,143.06,0
56,Exit long,2022-08-29 09:00,Take Profit,83.09,12.406,999.79954,30,3.00,1.02,30.52,3.05,-12.66,-1.27,316.13,158.06,2
56,Entry long,2022-08-29 01:00,Long Entry,80.59,12.406,999.79954,30,3.00,1.02,30.52,3.05,-12.66,-1.27,316.13,158.06,2
57,Exit long,2022-09-22 05:00,Take Profit,75.68,13.623,999.9282,30.04,3.00,1.02,30.56,3.05,-3.63,-0.36,346.17,173.09,1
